index,standalone_delta_chi2,after_cpl_delta_chi2
0,0.038279998833530726,0.14761303051895425
1,2.432037932306571,0.003490186645827009
2,1.3322597494491717,0.08438623283966251
3,0.025008848148061702,1.6569805314428798
4,2.0861732683680394,1.0052552192326871
5,0.695702457037612,0.12560813440826024
6,3.319045586093168,1.3335071545013868
7,3.0936881225087838,0.0413696263021599
8,10.487985624451042,3.200260110086063
9,2.499690005496717,0.68384459892021
10,0.2896026192669119,0.005238020901316531
11,2.6546366050905412,1.55687367454372
12,2.881017021454227,3.457256690347048
13,4.646474657057613,0.4377793932483378
14,2.884710739176196,2.8067377049288353
15,11.29020789819295,3.782365557050266
16,0.031284003632436,0.2759684207269011
17,0.6787443786512419,2.460913707563943
18,0.01719989639556374,1.667452215287316
19,2.262389032505812,1.648424616992763
20,4.51839352305365,0.3654450414844135
21,2.1453159323662625,2.32401329320939
22,0.7113583874859764,2.1952090632004335
23,3.217142007170338,1.8753275418011768
24,8.935770754671463,1.5888773900756448
25,0.17954735765453833,1.2897724762162674
26,0.23529192302582658,0.0973248962669615
27,12.433060626782293,5.033732004633471
28,1.2286662571948241,0.6578754268813327
29,1.340467194120098,0.011479757179362338
30,9.331184161489844,1.8111986592363358
31,0.12202936423363653,1.1075672049450276
32,0.04729135514324412,1.1246840729209602
33,4.990596105118431,0.9040796876454387
34,0.11296494151496006,2.8549064465693164
35,3.8352908687369514,2.8458432866918706
36,1.1518970509813613,2.2732573953919584
37,0.1860687574712152,2.1194146636083246
38,0.5559306809603655,0.002894881392563775
39,0.4944128767628797,1.1004418498375443
40,1.035377419036429,0.3150247978797829
41,1.3865864244846406,2.07939003219888
42,5.415198914271933,0.41164902913256896
43,3.4172123284232363,0.8976423517480185
44,3.5327390954116034,0.14063027215692614
45,2.92274902737746,0.372077128893352
46,0.2512132309219339,2.7551698096130472
47,2.535586387035334,2.157091738275536
48,0.9713982521187248,2.653882624666597
49,4.625153096071699e-05,3.29727778034966
50,0.5515597670239067,2.593527396596336
51,4.4566659780651605,0.37507233615292535
52,1.4920974873117672,0.09812216595241807
53,4.282707240472689,0.8933883298879941
54,0.16363735811433955,4.5733348093971955
55,1.1898044515805068,0.5433370439076484
56,0.03495306656441244,1.7197122986468436
57,1.7929596052302657,1.570047375038282
58,0.00039711928441121813,0.01887030531551659
59,2.2867917746237154,0.027649410689523535
60,5.539235065384986,0.005349938083263339
