version,file,n_nodes,omega_m_best_lcdm,lcdm_best_chi2,lcdm_fixed_omega_chi2,desi_like_omega_penalty_delta_chi2,cpl_delta_chi2,cpl_aic_gain,cpl_w0,cpl_wa,low_mid_gaussian_delta_chi2,low_mid_gaussian_aic_gain,low_mid_gaussian_amplitude_mag,low_mid_step_delta_chi2,low_mid_step_aic_gain,low_mid_step_amplitude_mag,cpl_after_gaussian_delta_chi2,cpl_after_gaussian_aic_gain,cpl_after_gaussian_w0,cpl_after_gaussian_wa,cpl_after_step_delta_chi2,cpl_after_step_aic_gain,cpl_after_step_w0,cpl_after_step_wa
Union3 original,data/mu_mat_union3_cosmo=2_mu.fits,22,0.3559246011982013,23.958016180526172,29.10990566541537,5.151889484889196,7.535851118290918,3.5358511182909176,-0.7006793472233142,-0.7400291732513148,17.120234008729277,15.120234008729277,0.02792352743109712,8.540694491466947,6.540694491466947,0.018851182549577145,0.8697065184996404,-3.1302934815003596,-1.1015185207271843,-0.03184614768858096,0.8732119763736641,-3.126788023626336,-0.8269170557648359,-0.6073853817677008
Union3.1 UNITY1.7,data/mu_mat_union3.1_UNITY1.7_template_cosmo=2_0_mu.fits,22,0.3423786925287019,22.59972010903808,25.8558000331863,3.2560799241482172,4.78816942145005,0.7881694214500499,-0.7635481663613124,-0.6080810093078998,12.473601520031673,10.473601520031673,0.023288736566820414,4.63966498561803,2.6396649856180296,0.01359255834433914,1.195949212348399,-2.804050787651601,-1.1318795025977353,0.04308426950846893,0.8380854685503785,-3.1619145314496215,-0.8384188209604345,-0.5286329866043444
Union3.1 UNITY1.8,data/mu_mat_union3.1_UNITY1.8_template_cosmo=2_0_mu.fits,22,0.333956098681167,28.759280279193298,31.106497839240134,2.347217560046836,4.739326859053211,0.7393268590532109,-0.7284145847320915,-0.9297215205045122,11.958147753582452,9.958147753582452,0.02227594002662357,3.6546144572637864,1.6546144572637864,0.011799476727240452,1.9555240129152232,-2.044475987084777,-1.089738352979645,-0.3290224104077727,1.5097054454820764,-2.4902945545179236,-0.7827563031729762,-0.8880153615723361
