c_low,s_low,c_mid,s_mid,lcdm_chi2,cpl_chi2,cpl_delta_chi2,nuisance_chi2,nuisance_delta_chi2,nuisance_amplitude,cpl_nuisance_chi2,cpl_after_nuisance_delta_chi2
0.07,0.04,0.7,0.08,29.10990566541537,21.57405454712445,7.535851118290918,18.029427055274255,11.080478610141114,0.02200858841580168,17.666749665455406,0.3626773898188489
0.07,0.04,0.7,0.1,29.10990566541537,21.57405454712445,7.535851118290918,18.373458498269898,10.73644716714547,0.022191159077345573,18.060572894880405,0.3128856033894927
0.07,0.04,0.7,0.12,29.10990566541537,21.57405454712445,7.535851118290918,18.83777932109099,10.272126344324377,0.021974249634414057,18.55265624413379,0.28512307695720196
0.07,0.06,0.7,0.08,29.10990566541537,21.57405454712445,7.535851118290918,15.613580470547722,13.496325194867646,0.0242721108131332,15.549650692802945,0.06392977774477693
0.07,0.06,0.7,0.1,29.10990566541537,21.57405454712445,7.535851118290918,16.084286121761917,13.025619543653452,0.024372649424266226,15.966374033451272,0.11791208831064459
0.07,0.06,0.7,0.12,29.10990566541537,21.57405454712445,7.535851118290918,16.71092418229871,12.398981483116657,0.024008079959138798,16.497526210634227,0.2133979716644845
0.07,0.08,0.7,0.08,29.10990566541537,21.57405454712445,7.535851118290918,15.36142495534672,13.748480710068648,0.024810363225788744,14.802578071960605,0.5588468833861153
0.07,0.08,0.7,0.1,29.10990566541537,21.57405454712445,7.535851118290918,15.933688246009046,13.176217419406322,0.02472750156441674,15.191577155770295,0.7421110902387511
0.07,0.08,0.7,0.12,29.10990566541537,21.57405454712445,7.535851118290918,16.67562170611199,12.434283959303379,0.02414734351176168,15.755953319888318,0.9196683862236714
0.07,0.04,0.775,0.08,29.10990566541537,21.57405454712445,7.535851118290918,15.427795037465465,13.682110627949903,0.024760146297269005,15.233416919273608,0.19437811819185669
0.07,0.04,0.775,0.1,29.10990566541537,21.57405454712445,7.535851118290918,15.683628915223432,13.426276750191937,0.0255148115819706,15.530759555737234,0.15286935948619806
0.07,0.04,0.775,0.12,29.10990566541537,21.57405454712445,7.535851118290918,16.313283696778694,12.796621968636675,0.025607121452109194,16.140541349215837,0.17274234756285622
0.07,0.06,0.775,0.08,29.10990566541537,21.57405454712445,7.535851118290918,12.779338245523585,16.330567419891786,0.027024570891560976,12.547803865863493,0.23153437966009172
0.07,0.06,0.775,0.1,29.10990566541537,21.57405454712445,7.535851118290918,13.077511962439335,16.032393702976034,0.027809473278263813,12.744401770578387,0.33311019186094804
0.07,0.06,0.775,0.12,29.10990566541537,21.57405454712445,7.535851118290918,13.805440857898464,15.304464807516904,0.027879004614553893,13.309128630956792,0.4963122269416722
0.07,0.08,0.775,0.08,29.10990566541537,21.57405454712445,7.535851118290918,12.399757299170917,16.710148366244454,0.027822627231997705,11.234775222367091,1.1649820768038257
0.07,0.08,0.775,0.1,29.10990566541537,21.57405454712445,7.535851118290918,12.767585605079802,16.342320060335567,0.02849996328257193,11.220167481778862,1.5474181233009396
0.07,0.08,0.775,0.12,29.10990566541537,21.57405454712445,7.535851118290918,13.589649484920413,15.520256180494956,0.0284057677429175,11.622566147107404,1.9670833378130084
0.07,0.04,0.85,0.08,29.10990566541537,21.57405454712445,7.535851118290918,19.444153132687735,9.665752532727634,0.01961887517894189,18.42014045023734,1.024012682450394
0.07,0.04,0.85,0.1,29.10990566541537,21.57405454712445,7.535851118290918,18.890527498748344,10.219378166667024,0.021328732946918484,18.06530227439754,0.825225224350806
0.07,0.04,0.85,0.12,29.10990566541537,21.57405454712445,7.535851118290918,18.607657459099844,10.502248206315524,0.022622788735661578,17.93006892521636,0.6775885338834833
0.07,0.06,0.85,0.08,29.10990566541537,21.57405454712445,7.535851118290918,16.872761857113538,12.23714380830183,0.022129556961758636,16.780573515061636,0.09218834205190163
0.07,0.06,0.85,0.1,29.10990566541537,21.57405454712445,7.535851118290918,16.306708950936866,12.803196714478503,0.023871008325996094,16.292920978139954,0.013787972796912129
0.07,0.06,0.85,0.12,29.10990566541537,21.57405454712445,7.535851118290918,16.038565807933026,13.071339857482343,0.02518214383464348,16.025227903369363,0.013337904563663017
0.07,0.08,0.85,0.08,29.10990566541537,21.57405454712445,7.535851118290918,16.33800796579624,12.771897699619128,0.02316113382526282,16.27127431585215,0.0667336499440907
0.07,0.08,0.85,0.1,29.10990566541537,21.57405454712445,7.535851118290918,15.806641341952233,13.303264323463136,0.024858832059331346,15.624709261708576,0.1819320802436568
0.07,0.08,0.85,0.12,29.10990566541537,21.57405454712445,7.535851118290918,15.594101441763419,13.51580422365195,0.026087940840673736,15.180732047149174,0.4133693946142447
0.09,0.04,0.7,0.08,29.10990566541537,21.57405454712445,7.535851118290918,15.49814603888917,13.611759626526199,0.02330815409174939,15.44077308792699,0.0573729509621792
0.09,0.04,0.7,0.1,29.10990566541537,21.57405454712445,7.535851118290918,15.970998466080774,13.138907199334595,0.023465399489339612,15.87025949338922,0.10073897269155374
0.09,0.04,0.7,0.12,29.10990566541537,21.57405454712445,7.535851118290918,16.58077307526132,12.529132590154049,0.023183775125807216,16.422863040097713,0.15791003516360647
0.09,0.06,0.7,0.08,29.10990566541537,21.57405454712445,7.535851118290918,14.556899731597788,14.55300593381758,0.02451447665699967,14.255413849205775,0.30148588239201324
0.09,0.06,0.7,0.1,29.10990566541537,21.57405454712445,7.535851118290918,15.106197990567646,14.003707674847723,0.0245622525272727,14.638961568530947,0.4672364220366987
0.09,0.06,0.7,0.12,29.10990566541537,21.57405454712445,7.535851118290918,15.827618757030178,13.28228690838519,0.02411954344581316,15.186568901590507,0.6410498554396717
0.09,0.08,0.7,0.08,29.10990566541537,21.57405454712445,7.535851118290918,15.804281132465498,13.30562453294987,0.023927926321670116,15.169827013952771,0.6344541185127266
0.09,0.08,0.7,0.1,29.10990566541537,21.57405454712445,7.535851118290918,16.39138822808093,12.718517437334437,0.023782762437335004,15.523171656540159,0.8682165715407724
0.09,0.08,0.7,0.12,29.10990566541537,21.57405454712445,7.535851118290918,17.14909396359061,11.96081170182476,0.02314528071909192,16.130517914456544,1.0185760491340652
0.09,0.04,0.775,0.08,29.10990566541537,21.57405454712445,7.535851118290918,12.645466751098876,16.464438914316492,0.02587892017124711,12.628493479855834,0.016973271243042376
0.09,0.04,0.775,0.1,29.10990566541537,21.57405454712445,7.535851118290918,12.954749094767957,16.155156570647414,0.026680936786053454,12.864532073428288,0.09021702133966869
0.09,0.04,0.775,0.12,29.10990566541537,21.57405454712445,7.535851118290918,13.684727291923574,15.425178373491795,0.026796370693303033,13.464396795141974,0.22033049678159955
0.09,0.06,0.775,0.08,29.10990566541537,21.57405454712445,7.535851118290918,11.655879130716821,17.45402653469855,0.02715854800320231,11.059869681209063,0.5960094495077577
0.09,0.06,0.775,0.1,29.10990566541537,21.57405454712445,7.535851118290918,11.989671656686093,17.120234008729277,0.02792352743109712,11.119965138186453,0.8697065184996404
0.09,0.06,0.775,0.12,29.10990566541537,21.57405454712445,7.535851118290918,12.776183350304766,16.333722315110602,0.027960554994872343,11.588314935879781,1.187868414424985
0.09,0.08,0.775,0.08,29.10990566541537,21.57405454712445,7.535851118290918,12.95835026048278,16.151555404932587,0.026842495131379623,11.651242894613503,1.3071073658692764
0.09,0.08,0.775,0.1,29.10990566541537,21.57405454712445,7.535851118290918,13.34408777352529,15.765817891890078,0.027434447121591553,11.526112134163712,1.8179756393615776
0.09,0.08,0.775,0.12,29.10990566541537,21.57405454712445,7.535851118290918,14.172050792632863,14.937854872782506,0.027270436585236014,11.84989512330515,2.3221556693277137
0.09,0.04,0.85,0.08,29.10990566541537,21.57405454712445,7.535851118290918,16.80190012403907,12.3080055413763,0.020992537019890217,16.404303800675926,0.39759632336314255
0.09,0.04,0.85,0.1,29.10990566541537,21.57405454712445,7.535851118290918,16.237898689202837,12.872006976212532,0.022741507539611548,15.94275045782023,0.2951482313826066
0.09,0.04,0.85,0.12,29.10990566541537,21.57405454712445,7.535851118290918,15.96876490611871,13.14114075929666,0.024061532466876576,15.71444914598325,0.25431576013545865
0.09,0.06,0.85,0.08,29.10990566541537,21.57405454712445,7.535851118290918,15.67810730218626,13.431798363229108,0.022521555398392554,15.674225909220237,0.0038813929660239666
0.09,0.06,0.85,0.1,29.10990566541537,21.57405454712445,7.535851118290918,15.125565457301372,13.984340208113997,0.024239243141045152,15.075764702183765,0.049800755117606954
0.09,0.06,0.85,0.12,29.10990566541537,21.57405454712445,7.535851118290918,14.885704493188898,14.22420117222647,0.02551445303498808,14.693689041998187,0.19201545119071106
0.09,0.08,0.85,0.08,29.10990566541537,21.57405454712445,7.535851118290918,16.646781363952908,12.46312430146246,0.02249376609072839,16.538395465905516,0.1083858980473913
0.09,0.08,0.85,0.1,29.10990566541537,21.57405454712445,7.535851118290918,16.153388943270752,12.956516722144617,0.02409633159819067,15.835922416809835,0.3174665264609171
0.09,0.08,0.85,0.12,29.10990566541537,21.57405454712445,7.535851118290918,15.979616629470437,13.130289035944932,0.025224120728597265,15.33866267866194,0.6409539508084965
0.11,0.04,0.7,0.08,29.10990566541537,21.57405454712445,7.535851118290918,15.73224866043618,13.377657004979188,0.02187290264290025,15.42746989231687,0.30477876811931104
0.11,0.04,0.7,0.1,29.10990566541537,21.57405454712445,7.535851118290918,16.215743546465895,12.894162118949474,0.022006710458519457,15.819758522540523,0.3959850239253715
0.11,0.04,0.7,0.12,29.10990566541537,21.57405454712445,7.535851118290918,16.846034238882897,12.263871426532472,0.021695891659723576,16.38118650368963,0.46484773519326694
0.11,0.06,0.7,0.08,29.10990566541537,21.57405454712445,7.535851118290918,15.479796176166124,13.630109489249245,0.022867966123527268,15.212142234373575,0.267653941792549
0.11,0.06,0.7,0.1,29.10990566541537,21.57405454712445,7.535851118290918,16.026131732852367,13.083773932563002,0.022867325550032062,15.56404312132103,0.4620886115313372
0.11,0.06,0.7,0.12,29.10990566541537,21.57405454712445,7.535851118290918,16.74421275289457,12.3656929125208,0.022384892511539092,16.147509778368782,0.5967029745257868
0.11,0.08,0.7,0.08,29.10990566541537,21.57405454712445,7.535851118290918,17.56402024414595,11.545885421269418,0.021729348705329495,17.090614750734076,0.47340549341187455
0.11,0.08,0.7,0.1,29.10990566541537,21.57405454712445,7.535851118290918,18.10098934378385,11.008916321631517,0.02153823466009593,17.43807512100567,0.6629142227781806
0.11,0.08,0.7,0.12,29.10990566541537,21.57405454712445,7.535851118290918,18.793801324839272,10.316104340576096,0.020888094742882838,18.054224029274497,0.739577295564775
0.11,0.04,0.775,0.08,29.10990566541537,21.57405454712445,7.535851118290918,13.074615659031519,16.03529000638385,0.024112160330472795,12.810862526192446,0.26375313283907253
0.11,0.04,0.775,0.1,29.10990566541537,21.57405454712445,7.535851118290918,13.377370846976625,15.732534818438744,0.02486635552425823,12.97015042282233,0.4072204241542945
0.11,0.04,0.775,0.12,29.10990566541537,21.57405454712445,7.535851118290918,14.096160855556262,15.013744809859107,0.024957525531407034,13.514149545492005,0.5820113100642565
0.11,0.06,0.775,0.08,29.10990566541537,21.57405454712445,7.535851118290918,12.769124893839598,16.340780771575773,0.025332221594380255,12.301371181223088,0.4677537126165099
0.11,0.06,0.775,0.1,29.10990566541537,21.57405454712445,7.535851118290918,13.110213904599743,15.999691760815626,0.026009701103374493,12.315202215674542,0.7950116889252001
0.11,0.06,0.775,0.12,29.10990566541537,21.57405454712445,7.535851118290918,13.884600449292972,15.225305216122397,0.02598462670170759,12.762452159467765,1.1221482898252066
0.11,0.08,0.775,0.08,29.10990566541537,21.57405454712445,7.535851118290918,15.010568398632364,14.099337266783005,0.024489941874600504,14.102573649390417,0.9079947492419471
0.11,0.08,0.775,0.1,29.10990566541537,21.57405454712445,7.535851118290918,15.386457645413731,13.723448020001637,0.024961533010095117,14.041264390884166,1.3451932545295655
0.11,0.08,0.775,0.12,29.10990566541537,21.57405454712445,7.535851118290918,16.160789403043246,12.949116262372122,0.024721761712190135,14.446643315488242,1.7141460875550045
0.11,0.04,0.85,0.08,29.10990566541537,21.57405454712445,7.535851118290918,16.999749624935113,12.110156040480256,0.019575560464995517,16.335828086593292,0.6639215383418211
0.11,0.04,0.85,0.1,29.10990566541537,21.57405454712445,7.535851118290918,16.459676912669256,12.650228752746113,0.0212301442572691,15.84124651955177,0.6184303931174853
0.11,0.04,0.85,0.12,29.10990566541537,21.57405454712445,7.535851118290918,16.213846388247504,12.896059277167865,0.022460277292859692,15.582572299683626,0.6312740885638775
0.11,0.06,0.85,0.08,29.10990566541537,21.57405454712445,7.535851118290918,16.49516185372042,12.61474381169495,0.02102878324162442,16.37414239897074,0.12101945474967835
0.11,0.06,0.85,0.1,29.10990566541537,21.57405454712445,7.535851118290918,15.984252936443932,13.125652728971437,0.02263605049294914,15.771878487446479,0.21237444899745306
0.11,0.06,0.85,0.12,29.10990566541537,21.57405454712445,7.535851118290918,15.782259734505885,13.327645930909483,0.023799418169109743,15.396376565400098,0.3858831691057869
0.11,0.08,0.85,0.08,29.10990566541537,21.57405454712445,7.535851118290918,18.321779679196993,10.788125986218375,0.020477334910456526,18.03853307996295,0.2832465992340438
0.11,0.08,0.85,0.1,29.10990566541537,21.57405454712445,7.535851118290918,17.881310116558453,11.228595548856916,0.021934637905472534,17.43300182679354,0.4483082897649133
0.11,0.08,0.85,0.12,29.10990566541537,21.57405454712445,7.535851118290918,17.744045056096205,11.365860609319164,0.022921075039567546,17.04350057984229,0.7005444762539135
