case,removed,z_threshold,n_kept,n_removed,lcdm_chi2,cpl_chi2,cpl_delta_chi2,cpl_aic_gain,cpl_w0,cpl_wa,M_lcdm,M_cpl
Full sample,none,,22,0,29.10990566541526,21.574054547125385,7.535851118289873,3.535851118289873,-0.7006793467447041,-0.7400291726433275,-0.07855564085859983,-0.0496586297056443
Remove z < 0.08,z < 0.08,0.08,21,1,28.69502796060969,21.11428430059606,7.580743660013628,3.5807436600136278,-0.6358543726261108,-1.027537351254593,-0.07965273800436734,-0.04225241589296671
Remove z < 0.10,z < 0.10,0.1,21,1,28.69502796060969,21.11428430059606,7.580743660013628,3.5807436600136278,-0.6358543726261108,-1.027537351254593,-0.07965273800436734,-0.04225241589296671
Remove z < 0.12,z < 0.12,0.12,20,2,20.900483102141468,18.61402968182468,2.286453420316789,-1.7135465796832108,-0.8394036146113738,-0.21495070032687053,-0.1315241082045819,-0.09945123055714535
Remove z < 0.20,z < 0.20,0.2,19,3,18.528972118000976,17.658079665076013,0.8708924529249629,-3.129107547075037,-1.0176565495322043,0.4323859464149603,-0.1295460499432819,-0.12764733335734235
Remove z < 0.30,z < 0.30,0.3,17,5,14.235789973798072,13.080462624767886,1.1553273490301859,-2.844672650969814,-1.1183776047426606,0.8841679292127725,-0.1384882015844839,-0.14933290585121684
