model,chi2,delta_chi2_vs_lcdm,aic_gain_vs_lcdm,Omega_m,w0,wa,M,A_nuis,delta_chi2_after_nuis,aic_gain_after_nuis
LCDM,29.10990566541537,0.0,0.0,0.2975,-1.0,0.0,-0.07855564085860008,,,
CPL,21.574054547124465,7.535851118290903,3.5358511182909034,0.2975,-0.7006793472291482,-0.7400291732518591,-0.04965862975644613,,,
LCDM+nuisance,11.98967165668609,17.120234008729277,15.120234008729277,0.2975,-1.0,0.0,-0.13835206649355095,0.02792352743109713,,
CPL+nuisance,11.119965138188968,17.989940527226402,11.989940527226402,0.2975,-1.1015185012095832,-0.03184614173054142,-0.1653230105170925,0.03566787975626228,0.8697065184971216,-3.1302934815028784
