index,c_low,c_mid,s_low,s_mid,sign,delta_chi2,amplitude,exceeds_or_equals_original,strictly_exceeds_original
0,0.3208846169945872,0.8827662837272576,0.1773756671858212,0.15157888464949823,-1.0,0.038279998833530726,0.0014655648320455942,False,False
1,0.3914678230728646,1.2372536721893883,0.1657702888443126,0.06049818122808734,-1.0,2.432037932306571,0.011035713937358395,False,False
2,0.2076350782634485,0.8078778266558394,0.1882823982157763,0.14301841921290634,-1.0,1.3322597494491717,-0.008897061680573257,False,False
3,0.2051949695895659,0.6499625939632546,0.12873356592253357,0.05021076097666805,1.0,0.025008848148061702,0.0009045668878612052,False,False
4,0.33967091019740375,1.0948308390342714,0.16129403841365983,0.09672415490077893,-1.0,2.0861732683680394,0.011097796006223093,False,False
5,0.3625923924627692,1.2562218467811381,0.07114219325631481,0.11467536059632547,1.0,0.695702457037612,-0.004391135423436168,False,False
6,0.06533131802553008,0.5697184412743026,0.14928783251879274,0.15916194494525074,-1.0,3.319045586093168,-0.009945065262455298,False,False
7,0.1640388753483532,0.8075056766383558,0.11512892980412928,0.07031541745348571,1.0,3.0936881225087838,0.011401961237343546,False,False
8,0.09547252686741509,0.9232754188485272,0.07630549584814146,0.14717023914920166,1.0,10.487985624451042,0.022999526408824803,False,False
9,0.3414373686202431,1.1702916122024742,0.08997866262112658,0.17316156822323217,-1.0,2.499690005496717,0.009660050324703764,False,False
10,0.33166752512388065,0.826226216933192,0.08613249662883907,0.14919928063599608,1.0,0.2896026192669119,-0.0029561340457797238,False,False
11,0.11996787086628792,0.4080984967261061,0.16590790040034215,0.14637613705472516,-1.0,2.6546366050905412,-0.007305924341831148,False,False
12,0.2968078825192173,1.2588019341241647,0.1134265240861344,0.130998591352463,-1.0,2.881017021454227,0.010780492972777852,False,False
13,0.09008552573759071,1.1352432579695189,0.1153753929829012,0.13043777703699022,-1.0,4.646474657057613,-0.01606890648643721,False,False
14,0.317749600095609,1.09819015200065,0.12857270410527932,0.12947314571926616,1.0,2.884710739176196,-0.01185308003442973,False,False
15,0.060786242098778795,0.8803891281555987,0.07433354765112468,0.10536458299594179,-1.0,11.29020789819295,-0.023066922874313587,False,False
16,0.34869107564385815,0.6573334344518749,0.049328438670250566,0.08502142272351945,1.0,0.031284003632436,0.0007933291973890313,False,False
17,0.28167078015441327,1.0127353675754063,0.16542371345702617,0.14629016645238202,-1.0,0.6787443786512419,0.00678926819513299,False,False
18,0.19223540150402468,1.2954224231326381,0.06671566718523263,0.043633931701417675,-1.0,0.01719989639556374,0.000527851154361557,False,False
19,0.3028257727087576,0.9080649532765261,0.06580348464537629,0.12016716401653818,-1.0,2.262389032505812,0.007678261064019224,False,False
20,0.10330923594960895,1.1659524125855096,0.1113850040918449,0.1009633961754372,-1.0,4.51839352305365,-0.014685267284839864,False,False
21,0.270598907591611,0.7979938716087296,0.05402398709057616,0.058880944339282454,-1.0,2.1453159323662625,0.006498832141028015,False,False
22,0.3866641825923301,1.3994387597783677,0.15195314140971994,0.08253919383352314,1.0,0.7113583874859764,-0.005477997579191528,False,False
23,0.32256281638802814,1.1885792080748954,0.11189784034300618,0.08355864989522545,1.0,3.217142007170338,-0.010406953655892984,False,False
24,0.08373683675372476,1.392862636198226,0.11292420637337777,0.07237813836723686,1.0,8.935770754671463,0.019186062509079418,False,False
25,0.2527268491296636,0.5944500612331549,0.17705828545478008,0.16136312477363363,-1.0,0.17954735765453833,-0.002359617790127456,False,False
26,0.3018120345828279,0.8753023437526142,0.1403694145123909,0.1334556750260377,-1.0,0.23529192302582658,0.00329639168828444,False,False
27,0.07955551239896119,0.8573881423876706,0.0466582678179028,0.11903853107912304,1.0,12.433060626782293,0.023952193205852765,False,False
28,0.16545142431647486,0.5589766077526517,0.05654447483560826,0.13402313154843393,1.0,1.2286662571948241,0.004930216068829968,False,False
29,0.37379204143187905,1.0391672536704344,0.09549916872557393,0.13454647863702668,-1.0,1.340467194120098,0.0070780310211066115,False,False
30,0.05798135486039413,1.4544151345655898,0.11716854991086403,0.1652376363600458,-1.0,9.331184161489844,-0.020704839728150782,False,False
31,0.22033041579335616,0.9397776937899731,0.19005223279599726,0.13147648838017206,-1.0,0.12202936423363653,-0.003015777400698014,False,False
32,0.21572129036993387,0.693673229401083,0.09305103957480834,0.12330758439544603,1.0,0.04729135514324412,0.0011954884658210607,False,False
33,0.05756422795811565,1.3089211166137937,0.1833857234943627,0.06243985423977773,-1.0,4.990596105118431,-0.01617115222811781,False,False
34,0.24391265023866732,0.519433315248988,0.14755841488636987,0.08499740541424133,-1.0,0.11296494151496006,0.0015439457126910298,False,False
35,0.3044481150004089,1.2455122411094228,0.05723855135294345,0.18656189522201727,1.0,3.8352908687369514,-0.010395596245026619,False,False
36,0.1305748968132083,0.44115381179379776,0.12877639510263733,0.0993475654179902,-1.0,1.1518970509813613,-0.004640758874978539,False,False
37,0.33288801522250566,0.748852782104987,0.1924639032111592,0.08654685410241898,1.0,0.1860687574712152,0.0029953439344828563,False,False
38,0.2302699952311001,0.6815615996243631,0.18976697120783415,0.0663372508131229,1.0,0.5559306809603655,0.005079304816091514,False,False
39,0.20228397100106332,1.491613120461421,0.18266836260078625,0.15977728311311187,-1.0,0.4944128767628797,-0.005573221598460709,False,False
40,0.3617773718074837,1.3827913036676496,0.12301733766183184,0.09054864829292689,-1.0,1.035377419036429,0.006015362684449145,False,False
41,0.2815814421087164,0.8110235017610812,0.05511466688984244,0.15948633781584418,1.0,1.3865864244846406,-0.005922071020857513,False,False
42,0.14186118057300265,1.4304944655871572,0.07855529200090956,0.059641269185837766,-1.0,5.415198914271933,-0.012153306071198492,False,False
43,0.10364951081857293,0.5971951389735131,0.13590124664333497,0.17992992653399434,1.0,3.4172123284232363,0.010308975703735164,False,False
44,0.11875213300010064,0.7413560401901043,0.1643847741185884,0.19549222816975478,-1.0,3.5327390954116034,-0.012884341675494071,False,False
45,0.10036412589293778,0.41532991647902173,0.07674496479981685,0.06109155484584337,1.0,2.92274902737746,0.007112989212890102,False,False
46,0.28718053576450014,0.5340157550913842,0.1210127890593013,0.15108198970286185,1.0,0.2512132309219339,-0.00229895994120348,False,False
47,0.11992147808102017,1.2845369788004892,0.15446514073852827,0.15823744062648668,1.0,2.535586387035334,0.013165272561088555,False,False
48,0.09587021304505965,0.5361291840153791,0.18841000816104123,0.10361251101199051,1.0,0.9713982521187248,0.005114056156527674,False,False
49,0.2210044158730367,1.1291506340399406,0.1928997211275152,0.0858313963011288,-1.0,4.625153096071699e-05,-6.060451245107182e-05,False,False
50,0.3736829502592095,0.427345440524882,0.12883168677229195,0.1414360178689736,1.0,0.5515597670239067,-0.0032588461340208696,False,False
51,0.09911885897236944,0.8610257512479342,0.19459710594290908,0.13536680851749966,-1.0,4.4566659780651605,-0.017502642498639254,False,False
52,0.37655812756007395,1.284797007174268,0.11478105624884666,0.16556215188035,1.0,1.4920974873117672,-0.008069813019140904,False,False
53,0.08820039886800723,1.31237147637101,0.1674907341320259,0.0772225187146294,-1.0,4.282707240472689,-0.015312491867612707,False,False
54,0.23576935670966875,1.066617402770012,0.1788382326041618,0.13649714517419612,-1.0,0.16363735811433955,0.003636566073836883,False,False
55,0.18096441519251394,0.8684702950108609,0.14430896409279587,0.17879850108037199,-1.0,1.1898044515805068,-0.008167290675022896,False,False
56,0.2088639087267049,0.672623519246494,0.07786597807961299,0.15936228483895143,1.0,0.03495306656441244,0.0009509676329013041,False,False
57,0.08684732794894374,0.473214742650696,0.1351093862010323,0.06338771907083172,1.0,1.7929596052302657,0.0063016479777698005,False,False
58,0.33863246665971947,0.7413681413164819,0.06301950927538283,0.18735527559799206,1.0,0.00039711928441121813,-0.00010080096517356028,False,False
59,0.14965202881827744,0.5689747347112646,0.058478410186456796,0.04338368261383041,-1.0,2.2867917746237154,-0.006709995985731179,False,False
60,0.06938839320749104,0.592105618029438,0.048541109220348065,0.1345830105777554,1.0,5.539235065384986,0.013645568191967371,False,False
61,0.1877706598912099,0.7497902066472544,0.12072419792355682,0.1800007907575374,1.0,1.0694586035494176,0.0065388752615633304,False,False
62,0.3478960693877721,0.4478225682140712,0.06903974553544386,0.07787917937670336,-1.0,0.8601582095553439,0.003329101974847786,False,False
63,0.2499314281099705,0.8578886682735116,0.04788065918841504,0.09977826215353146,-1.0,2.7496293455628873,0.007728655218357223,False,False
64,0.23331353205117306,0.5118390931940876,0.17335336860616957,0.04831389863441668,-1.0,0.0012643939811702865,0.00017628309746325633,False,False
65,0.08468959955295643,1.327932446757528,0.18442450302841876,0.19673130889385484,1.0,3.4989610375039177,0.016717140251081144,False,False
66,0.33070905809575774,1.2574252948484619,0.14279732415928764,0.16463941673250065,1.0,2.0793743416470427,-0.010912958938986689,False,False
67,0.2376238125816731,0.965645157209456,0.17721154305960923,0.11404789849496255,-1.0,0.04007285226445845,0.0016857176631804081,False,False
68,0.18478132363512373,1.1035195983608213,0.08263413080013537,0.0623629457526331,-1.0,0.07730412668619735,-0.0015103586529350511,False,False
69,0.19591127900820976,0.6558269345817611,0.09880188961842049,0.09862279197219959,-1.0,0.250380490533022,-0.0027268613311790687,False,False
70,0.16462344754439093,0.817410487699622,0.14971893527295127,0.08750023593140566,1.0,2.9489304591161734,0.012544092938172869,False,False
71,0.3707218068383623,0.9290014711300865,0.09253779280075021,0.1256695663728005,1.0,0.5260394121046197,-0.004198146147092101,False,False
72,0.34699617107076863,1.1178460746161123,0.16870269247153238,0.12523556417051843,1.0,2.2006950481499423,-0.012125918967443264,False,False
73,0.15085446496386162,1.20838247854132,0.07238473490011493,0.15116770061095972,1.0,2.3267692371187287,0.009501188655086427,False,False
74,0.3512516739140629,0.5453131210316984,0.13830075848670717,0.055215319716789536,1.0,1.0468520960556873,-0.004507247245506574,False,False
75,0.07957262658823208,1.429533804970689,0.06198526880604835,0.19342083934545287,1.0,11.185387880074,0.021578359763321304,False,False
76,0.33030946162978386,1.0530502049129895,0.1652198567407275,0.16721837423729374,1.0,1.3592100870821966,-0.009506454792126744,False,False
77,0.13868417384371554,1.0490834848941402,0.055207871610304195,0.1385865120038594,1.0,4.439560147772447,0.012863161543673046,False,False
78,0.1099519564324761,1.021445672619686,0.13158888224541596,0.11455762447699638,1.0,2.8083876453135765,0.012839026418336931,False,False
79,0.3173731865023058,1.2791691881632734,0.11874451449206866,0.13593495064361796,1.0,2.5580093412810996,-0.010380450391450904,False,False
