case,removed_z,n_kept,lcdm_chi2,cpl_chi2,nuisance_chi2,cpl_nuisance_chi2,delta_chi2_cpl,delta_chi2_nuisance,delta_chi2_cpl_after_nuisance,nuisance_amplitude,cpl_w0,cpl_wa,cpl_nuisance_w0,cpl_nuisance_wa
Full sample,none,22,29.10990566541526,21.574054547125385,11.989671656686049,11.119965138188318,7.535851118289873,17.12023400872921,0.8697065184977308,0.027923527431097103,-0.7006793467447041,-0.7400291726433275,-1.1015185207211609,-0.03184614768810778
Very low z,0.0-0.1,21,28.69502796060969,21.11428430059606,11.938555347089418,11.118969462961124,7.580743660013628,16.756472613520273,0.8195858841282941,0.02647885671052292,-0.6358543726261108,-1.027537351254593,-1.1062860738564464,-0.013693613752509434
Low z,0.1-0.3,18,16.135632072289564,13.338745331550593,8.481163483799445,8.00122407677962,2.7968867407389713,7.6544685884901185,0.47993940701982574,0.02309185604382885,-0.8755099714805311,0.07896775591028493,-1.1225307864045122,0.18039224065421283
Mid z,0.3-0.7,14,25.247245812802273,11.98600235787998,7.6781031586900435,7.378689838697273,13.261243454922292,17.56914265411223,0.29941331999277043,0.03557943176168459,-0.4594919086198261,-1.5127813523007096,-1.0495256038961336,-0.17081009654357387
High-mid z,0.7-1.0,17,21.691531316283925,14.500768884319552,9.59553592768665,9.133467143265607,7.190762431964373,12.095995388597276,0.46206878442104227,0.019673881540302723,-0.6473206967785113,-1.1666545116238491,-1.1425112348744475,0.29785198381098
High z,z >= 1.0,18,27.059953500569613,19.006820560829713,9.545409126906454,8.17001825946225,8.0531329397399,17.514544373663156,1.3753908674442048,0.031237132081173687,-0.6507673356386721,-1.0427313545278847,-1.037105058797521,-0.4846590736688069
